timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
963339570,inf,1,0,0,0,0
964354510,inf,1,0,0,0,0
965373012,inf,1,0,0,0,0
966385590,inf,1,0,0,0,0
967399632,inf,1,0,0,0,0
968421720,inf,1,0,0,0,0
969442512,inf,1,0,0,0,0
970447846,inf,1,0,0,0,0
971465603,inf,1,0,0,0,0
972478778,inf,1,0,0,0,0
973494514,inf,1,0,0,0,0
974508563,inf,1,0,0,0,0
975527580,inf,1,0,0,0,0
976527586,inf,1,0,0,0,0
977542514,inf,1,0,0,0,0
978559572,inf,1,0,0,0,0
979572560,inf,1,0,0,0,0
980586954,inf,1,0,0,0,0
981602525,inf,1,0,0,0,0
982613599,inf,1,0,0,0,0
983628520,inf,1,0,0,0,0
984645574,inf,1,0,0,0,0
985665601,inf,1,0,0,0,0
986675628,inf,1,0,0,0,0
987679586,inf,1,0,0,0,0
988698511,inf,1,0,0,0,0
989713590,inf,1,0,0,0,0
990729572,inf,1,0,0,0,0
991745599,inf,1,0,0,0,0
992757157,inf,1,0,0,0,0
993774516,inf,1,0,0,0,0
994777590,inf,1,0,0,0,0
995778045,inf,1,0,0,0,0
996790510,inf,1,0,0,0,0
997800565,inf,1,0,0,0,0
998821574,inf,1,0,0,0,0
999836564,inf,1,0,0,0,0
1000843568,inf,1,0,0,0,0
1001863828,inf,1,0,0,0,0
1002881623,inf,1,0,0,0,0
1003898516,inf,1,0,0,0,0
1004910511,inf,1,0,0,0,0
1005923622,inf,1,0,0,0,0
1006937589,inf,1,0,0,0,0
1007953846,inf,1,0,0,0,0
1008970557,inf,1,0,0,0,0
1009978512,inf,1,0,0,0,0
1010990514,inf,1,0,0,0,0
1012004602,inf,1,0,0,0,0
1013020994,inf,1,0,0,0,0
1014036198,inf,1,0,0,0,0
1015055848,inf,1,0,0,0,0
1016071581,inf,1,0,0,0,0
1017089635,inf,1,0,0,0,0
1018110511,inf,1,0,0,0,0
1019121622,inf,1,0,0,0,0
1020137853,inf,1,0,0,0,0
1021155062,inf,1,0,0,0,0
1022170517,inf,1,0,0,0,0
1023182529,inf,1,0,0,0,0
1024197590,inf,1,0,0,0,0
1025217849,inf,1,0,0,0,0
1026229775,inf,1,0,0,0,0
1027241594,inf,1,0,0,0,0
1028249618,inf,1,0,0,0,0
1029268564,inf,1,0,0,0,0
1030289568,inf,1,0,0,0,0
1031303568,inf,1,0,0,0,0
1032323374,inf,1,0,0,0,0
1033341567,inf,1,0,0,0,0
1034356610,inf,1,0,0,0,0
1035372906,inf,1,0,0,0,0
1036384149,inf,1,0,0,0,0
1037392613,inf,1,0,0,0,0
1038410509,inf,1,0,0,0,0
1039426524,inf,1,0,0,0,0
1040442645,inf,1,0,0,0,0
1041452570,inf,1,0,0,0,0
1042458575,inf,1,0,0,0,0
1043472558,inf,1,0,0,0,0
1044472862,inf,1,0,0,0,0
1045493375,inf,1,0,0,0,0
1046511629,inf,1,0,0,0,0
1047525166,inf,1,0,0,0,0
1048542514,inf,1,0,0,0,0
1049555572,inf,1,0,0,0,0
1050572564,inf,1,0,0,0,0
1051579569,inf,1,0,0,0,0
1052596559,inf,1,0,0,0,0
1053613574,inf,1,0,0,0,0
1054629857,inf,1,0,0,0,0
1055645597,inf,1,0,0,0,0
1056657799,inf,1,0,0,0,0
1057659577,inf,1,0,0,0,0
1058670512,inf,1,0,0,0,0
1059677610,inf,1,0,0,0,0
1060696551,inf,1,0,0,0,0
1061711045,inf,1,0,0,0,0
1062729992,inf,1,0,0,0,0
1063749862,inf,1,0,0,0,0
1064763573,inf,1,0,0,0,0
1065776572,inf,1,0,0,0,0
1066783573,inf,1,0,0,0,0
1067797729,inf,1,0,0,0,0
1068812552,inf,1,0,0,0,0
1069830511,inf,1,0,0,0,0
