timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
1422259561,20000.0,1.0,2013.181,0.0,61903,0,65.87504,15915,165,0,0,0,0.010367578,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1423251714,20000.0,1.0,2075.492,0.0,61948,0,39.703335,15917,165,0,0,0,0.010366275,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1424765002,20000.0,1.0,1876.7365,0.0,62010,0,39.80353,15919,165,0,0,0,0.010364973,0,0,0,0,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425245041,20000.0,1.0,1885.2864,0.0,62033,0,18.982746,15920,166,0,0,0,0.010427136,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1426248782,20000.0,1.0,1845.3241,0.0,62077,0,39.92048,15922,166,0,0,0,0.010425826,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1427274967,20000.0,1.0,1883.7147,0.0,62123,0,39.93036,15924,166,0,0,0,0.010424516,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1428279551,20000.0,1.0,1847.2506,0.0,62165,0,39.962154,15926,166,0,0,0,0.010423208,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1429262996,20000.0,1.0,1886.6737,0.0,62209,0,39.993084,15928,166,0,0,0,0.010421898,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1430259800,20000.0,1.0,1843.3335,0.0,62251,0,39.877415,15930,166,0,0,0,0.01042059,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1431254819,20000.0,1.0,1932.7347,0.0,62298,0,39.8502,15932,166,0,0,0,0.010419282,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1432245996,20000.0,1.0,1845.3204,0.0,62338,0,39.9204,15934,166,0,0,0,0.010417975,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1433247327,20000.0,1.0,1944.7183,0.0,62385,0,39.891655,15936,166,0,0,0,0.010416667,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1434256000,20000.0,1.0,1785.443,0.0,62427,0,39.987526,15938,166,0,0,0,0.010415359,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1435248611,20000.0,1.0,1944.0938,0.0,62472,0,39.878845,15940,166,0,0,0,0.010414053,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1436261167,20000.0,1.0,1779.629,0.0,62514,0,39.85731,15942,166,0,0,0,0.010412746,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1437247462,20000.0,1.0,2097.1604,0.0,62562,0,39.945915,15944,166,0,0,0,0.01041144,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1438252171,20000.0,1.0,1867.6744,0.0,62606,0,39.907574,15946,166,0,0,0,0.010410134,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
