timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
38389423,38388816,-0.09472669,0.044457935,0.1261264,0.9864798,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38439362,38438768,-0.09440458,0.042717125,0.12735243,0.98643017,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38489297,38488719,-0.094377056,0.041973066,0.1277014,0.9864196,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38539260,38538671,-0.09434645,0.040850755,0.12880452,0.9863263,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38589213,38588622,-0.0942374,0.0394251,0.13020429,0.9862109,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38639177,38638574,-0.09516052,0.037828837,0.13160965,0.98599815,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38689105,38688525,-0.095699646,0.03589871,0.13383576,0.9857185,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38739071,38738477,-0.09599986,0.033828825,0.13797534,0.9851916,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38789021,38788429,-0.0957483,0.028532254,0.14538541,0.98431766,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38838969,38838387,-0.095621996,0.02181359,0.15453583,0.983107,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38888911,38888331,-0.09525336,0.020804822,0.1585584,0.98252386,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38938876,38938283,-0.09553442,0.02146175,0.1521933,0.9834887,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
38988812,38988235,-0.09599131,0.024145238,0.14054081,0.9851147,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
39038764,39038186,-0.09724549,0.028228581,0.13385937,0.98581344,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
39088721,39088137,-0.09728573,0.029302608,0.13299978,0.98589456,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
39138695,39138089,-0.096997835,0.026174065,0.13446023,0.9858128,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
